iter	Passed	Remaining
478	680	739
479	681	738
480	682	736
481	683	735
482	685	733
483	686	731
484	687	730
485	689	728
486	690	727
487	691	725
488	692	723
489	694	722
490	695	720
491	696	719
492	697	717
493	699	716
494	700	714
495	702	713
496	703	712
497	704	710
498	706	708
499	707	707
500	708	705
501	709	704
502	711	702
503	712	701
504	713	699
505	714	697
506	716	696
507	717	694
508	718	693
509	719	691
510	721	690
511	722	688
512	723	686
513	724	685
514	726	683
515	727	682
516	728	680
517	729	679
518	731	677
519	732	676
520	733	674
521	734	672
522	736	671
523	737	669
524	738	668
525	739	666
526	740	665
527	742	663
528	743	661
529	744	660
530	745	658
531	747	657
532	748	655
533	749	654
534	750	652
535	752	651
536	753	649
537	754	648
538	755	646
539	757	645
540	758	643
541	759	641
542	760	640
543	762	638
544	763	637
545	764	635
546	765	634
547	767	632
548	768	631
549	769	629
550	770	628
551	772	626
552	773	625
553	774	623
554	775	622
555	777	620
556	778	618
557	779	617
558	780	615
559	782	614
560	783	612
561	784	611
562	785	609
563	787	608
564	788	606
565	789	605
566	790	603
567	791	602
568	793	600
569	794	599
570	795	597
571	796	596
572	798	594
573	799	593
574	800	591
575	801	590
576	803	588
577	804	587
578	805	585
579	806	584
580	808	582
581	809	581
582	810	579
583	812	578
584	813	576
585	814	575
586	815	574
587	817	572
588	818	571
589	819	569
590	820	568
591	822	566
592	823	565
593	824	563
594	825	562
595	827	560
596	828	559
597	829	557
598	831	556
599	832	554
600	833	553
601	834	551
602	836	550
603	837	548
604	838	547
605	839	546
606	841	544
607	842	543
608	843	541
609	844	540
610	846	538
611	847	537
612	848	535
613	849	534
614	850	532
615	852	531
616	853	529
617	854	528
618	855	526
619	857	525
620	858	523
621	859	522
622	860	520
623	862	519
624	863	517
625	864	516
626	865	515
627	867	513
628	868	512
629	869	510
630	870	509
631	872	507
632	873	506
633	874	504
634	875	503
635	877	502
636	878	500
637	879	499
638	880	497
639	882	496
640	883	494
641	884	493
642	885	491
643	887	490
644	888	489
645	889	487
646	891	486
647	892	484
648	893	483
649	895	481
650	896	480
651	897	479
652	898	477
653	900	476
654	901	474
655	902	473
656	903	471
657	905	470
658	906	469
659	907	467
660	908	466
661	910	464
662	911	463
663	912	461
664	913	460
665	915	458
666	916	457
667	917	456
668	918	454
669	920	453
670	921	451
671	922	450
672	923	448
673	924	447
674	926	445
675	927	444
676	928	443
677	929	441
678	931	440
679	932	438
680	933	437
681	934	435
682	936	434
683	937	433
684	938	431
685	939	430
686	941	428
687	942	427
688	943	426
689	945	424
690	946	423
691	947	421
692	949	420
693	950	419
694	951	417
695	953	416
696	954	414
697	955	413
698	957	412
699	958	410
700	959	409
701	960	407
702	962	406
703	963	405
704	964	403
705	965	402
706	967	400
707	968	399
708	969	398
709	971	396
710	972	395
711	973	393
712	974	392
713	976	390
714	977	389
715	978	388
716	979	386
717	981	385
718	982	384
719	983	382
720	985	381
721	986	379
722	987	378
723	988	376
724	990	375
725	991	374
726	992	372
727	993	371
728	995	369
729	996	368
730	997	367
731	998	365
732	1000	364
733	1001	362
734	1002	361
735	1003	360
736	1005	358
737	1006	357
738	1007	355
739	1009	354
740	1010	353
741	1011	351
742	1013	350
743	1014	349
744	1015	347
745	1016	346
746	1018	344
747	1019	343
748	1021	342
749	1022	340
750	1024	339
751	1026	338
752	1028	337
753	1030	336
754	1031	334
755	1033	333
756	1036	332
757	1038	331
758	1040	330
759	1042	329
760	1044	327
761	1046	326
762	1047	325
763	1049	324
764	1051	322
765	1053	321
766	1055	320
767	1057	319
768	1059	318
769	1061	317
770	1063	316
771	1066	314
772	1068	313
773	1069	312
774	1070	310
775	1071	309
776	1073	308
777	1074	306
778	1075	305
779	1076	303
780	1078	302
781	1080	301
782	1081	299
783	1082	298
784	1083	296
785	1085	295
786	1086	294
787	1087	292
788	1089	291
789	1090	289
790	1091	288
791	1092	287
792	1094	285
793	1095	284
794	1097	282
795	1098	281
796	1099	280
797	1100	278
798	1102	277
799	1103	275
800	1104	274
801	1105	273
802	1107	271
803	1108	270
804	1109	268
805	1110	267
806	1112	266
807	1113	264
808	1114	263
809	1115	261
810	1117	260
811	1118	258
812	1119	257
813	1121	256
814	1122	254
815	1123	253
816	1124	251
817	1126	250
818	1127	249
819	1128	247
820	1130	246
821	1131	244
822	1132	243
823	1134	242
824	1135	240
825	1136	239
826	1137	237
827	1138	236
828	1140	235
829	1141	233
830	1143	232
831	1145	231
832	1147	230
833	1149	228
834	1150	227
835	1152	226
836	1153	224
837	1155	223
838	1156	222
839	1158	220
840	1159	219
841	1160	217
842	1162	216
843	1163	215
844	1164	213
845	1166	212
846	1167	210
847	1168	209
848	1169	208
849	1171	206
850	1172	205
851	1175	204
852	1177	202
853	1178	201
854	1180	200
855	1182	198
856	1183	197
857	1185	196
858	1186	194
859	1187	193
860	1189	191
861	1190	190
862	1191	189
863	1192	187
864	1194	186
865	1195	184
866	1196	183
867	1198	182
868	1199	180
869	1200	179
870	1201	177
871	1202	176
872	1204	175
873	1206	173
874	1207	172
875	1209	171
876	1211	169
877	1213	168
878	1214	167
879	1216	165
880	1218	164
881	1221	163
882	1223	162
883	1225	160
884	1227	159
885	1228	158
886	1230	156
887	1231	155
888	1233	153
889	1234	152
890	1235	151
891	1237	149
892	1238	148
893	1239	146
894	1241	145
895	1242	144
896	1243	142
897	1244	141
898	1246	139
899	1247	138
900	1248	137
901	1249	135
902	1251	134
903	1253	133
904	1255	131
905	1256	130
906	1258	129
907	1260	127
908	1261	126
909	1263	124
910	1265	123
911	1266	122
912	1268	120
913	1269	119
914	1271	118
915	1272	116
916	1274	115
917	1275	113
918	1276	112
919	1277	111
920	1279	109
921	1280	108
922	1281	106
923	1283	105
924	1284	104
925	1285	102
926	1286	101
927	1288	99
928	1289	98
929	1290	97
930	1292	95
931	1293	94
932	1294	92
933	1296	91
934	1297	90
935	1298	88
936	1299	87
937	1301	86
938	1302	84
939	1303	83
940	1305	81
941	1306	80
942	1307	79
943	1309	77
944	1311	76
945	1313	74
946	1315	73
947	1316	72
948	1318	70
949	1320	69
950	1322	68
951	1323	66
952	1324	65
953	1326	63
954	1327	62
955	1329	61
956	1330	59
957	1331	58
958	1333	56
959	1334	55
960	1335	54
961	1336	52
962	1338	51
963	1339	50
964	1340	48
965	1342	47
966	1343	45
967	1344	44
968	1346	43
969	1348	41
970	1350	40
971	1351	38
972	1353	37
973	1354	36
974	1356	34
975	1357	33
976	1358	31
977	1359	30
978	1361	29
979	1362	27
980	1363	26
981	1364	25
982	1366	23
983	1367	22
984	1368	20
985	1370	19
986	1371	18
987	1372	16
988	1374	15
989	1375	13
990	1376	12
991	1377	11
992	1379	9
993	1380	8
994	1381	6
995	1383	5
996	1384	4
997	1385	2
998	1387	1
999	1388	0
