iter	RMSE
276	45782.16886
277	45762.25197
278	45737.7777
279	45700.66498
280	45675.81276
281	45632.93303
282	45603.02821
283	45581.12809
284	45565.26676
285	45541.31261
286	45524.15832
287	45493.78176
288	45464.61813
289	45436.49996
290	45409.27091
291	45382.25833
292	45358.41681
293	45318.28218
294	45294.43027
295	45266.89343
296	45242.46483
297	45218.81975
298	45202.51691
299	45180.24407
300	45154.49267
301	45125.2661
302	45104.24356
303	45081.50356
304	45056.72293
305	45033.3805
306	45007.54847
307	44968.71852
308	44948.87471
309	44922.12226
310	44898.15164
311	44879.05736
312	44861.19931
313	44839.66118
314	44820.18961
315	44787.45208
316	44762.59692
317	44744.67493
318	44730.14515
319	44714.79129
320	44697.46873
321	44672.93251
322	44644.94043
323	44616.98079
324	44590.91937
325	44576.19717
326	44557.69554
327	44526.43677
328	44507.90639
329	44487.26229
330	44468.4159
331	44445.40299
332	44430.9207
333	44417.39139
334	44390.69798
335	44377.20324
336	44357.1565
337	44338.038
338	44308.63421
339	44295.6959
340	44272.81836
341	44248.84654
342	44227.91556
343	44205.30777
344	44189.74195
345	44167.18342
346	44151.01779
347	44129.60951
348	44114.23518
349	44089.84285
350	44064.27749
351	44045.62977
352	44023.46985
353	44006.16567
354	43990.67086
355	43973.8849
356	43961.80045
357	43948.29928
358	43926.72242
359	43899.51882
360	43876.32339
361	43857.50704
362	43841.27582
363	43811.81127
364	43788.30497
365	43760.50484
366	43738.37276
367	43721.95521
368	43699.94531
369	43675.96754
370	43659.35581
371	43637.57698
372	43618.94228
373	43602.47136
374	43565.08137
375	43538.84812
376	43520.58824
377	43502.90475
378	43484.57849
379	43467.88076
380	43451.32837
381	43434.98868
382	43416.14795
383	43394.84908
384	43380.1551
385	43357.3297
386	43338.70057
387	43313.15307
388	43295.96145
389	43271.85632
390	43253.19617
391	43239.79613
392	43225.6148
393	43211.64916
394	43198.03684
395	43176.88674
396	43156.41697
397	43129.74347
398	43119.53708
399	43110.33831
400	43088.57531
401	43076.85038
402	43061.6111
403	43038.40439
404	43018.07339
405	43007.52144
406	42987.0405
407	42966.11096
408	42957.20696
409	42936.50897
410	42918.42195
411	42901.5135
412	42893.08048
413	42876.4755
414	42860.08879
415	42837.14933
416	42819.90845
417	42803.13954
418	42795.59333
419	42771.04141
420	42748.67961
421	42724.81731
422	42712.72326
423	42696.32662
424	42675.46992
425	42658.69392
426	42646.64429
427	42628.25949
428	42610.49196
429	42600.75646
430	42588.22732
431	42561.53957
432	42552.30931
433	42531.30629
434	42514.4661
435	42500.03733
436	42487.90425
437	42467.74315
438	42453.62042
439	42432.46159
440	42412.85511
441	42398.17224
442	42387.06984
443	42370.91837
444	42357.86065
445	42342.87516
446	42333.27033
447	42315.15886
448	42295.52989
449	42279.13292
450	42265.52439
451	42246.33304
452	42230.62576
453	42200.169
454	42186.75422
455	42170.48587
456	42151.05574
457	42141.03456
458	42126.31665
459	42103.71008
460	42082.96764
461	42065.70675
462	42046.80776
463	42027.2557
464	42015.37291
465	41998.80613
466	41976.60246
467	41962.90609
468	41946.28013
469	41921.83751
470	41902.34013
471	41891.05466
472	41870.94236
473	41862.70735
474	41840.02721
475	41829.06007
476	41816.10694
477	41799.82541
478	41788.19558
479	41771.81293
480	41758.85749
481	41742.93069
482	41728.47085
483	41708.89689
484	41692.16065
485	41678.82345
486	41663.50666
487	41640.00618
488	41624.40003
489	41608.74733
490	41598.18174
491	41574.1157
492	41546.90535
493	41532.26799
494	41514.05953
495	41496.95345
496	41478.64096
497	41462.9797
498	41438.72646
499	41424.73346
500	41409.55076
501	41394.05262
502	41377.54094
503	41367.48174
504	41340.63088
505	41323.34527
506	41300.55286
507	41284.44095
508	41275.02537
509	41257.80281
510	41244.30869
511	41233.23694
512	41221.15976
513	41206.67036
514	41184.52567
515	41169.87792
516	41149.77459
517	41140.79545
518	41133.51486
519	41117.81796
520	41103.36233
521	41085.84443
522	41078.70394
523	41067.96696
524	41057.1016
525	41047.45663
526	41033.40791
527	41014.95208
528	40996.62539
529	40977.83098
530	40963.78868
531	40950.41239
532	40939.20854
533	40926.02466
534	40915.03188
535	40904.27178
536	40892.33906
537	40874.24465
538	40855.29205
539	40838.33301
540	40820.62878
541	40808.20752
542	40789.16941
543	40780.96783
544	40765.89416
545	40747.0031
546	40729.40668
547	40719.20354
548	40696.31891
549	40680.07553
550	40672.91962
551	40659.28817
552	40649.45839
553	40635.8243
554	40627.40949
555	40614.49158
556	40601.32653
557	40591.31686
558	40573.60735
559	40558.01687
560	40543.47945
561	40531.43092
562	40521.37502
563	40506.13248
564	40489.83428
565	40477.95674
566	40461.84005
567	40442.28105
568	40429.46013
569	40420.75023
570	40403.98012
571	40396.83444
572	40385.01553
573	40366.19716
574	40356.46521
575	40342.11568
576	40326.60647
577	40315.50883
578	40300.83294
579	40281.51593
580	40268.27697
581	40255.81922
582	40241.89497
583	40231.41952
584	40219.13402
585	40205.74707
586	40186.01954
587	40179.80761
588	40162.9114
589	40154.629
590	40141.85278
591	40127.61079
592	40109.66084
593	40094.06915
594	40088.20992
595	40080.31807
596	40056.81936
597	40039.73015
598	40027.46316
599	40013.64675
600	40003.04778
601	39990.81244
602	39968.39503
603	39954.99242
604	39940.73888
605	39927.9732
606	39911.39657
607	39890.82902
608	39874.46135
609	39862.93309
610	39851.18145
611	39840.5099
612	39828.7693
613	39819.36625
614	39807.65499
615	39796.47882
616	39778.75902
617	39765.5499
618	39758.4005
619	39743.8751
620	39734.06094
621	39721.92159
622	39713.20464
623	39692.79991
624	39677.64938
625	39668.45285
626	39655.49776
627	39648.00013
628	39634.78137
629	39620.44487
630	39612.94494
631	39598.5135
632	39589.12285
633	39580.09244
634	39565.08247
635	39545.5963
636	39530.57435
637	39525.39204
638	39517.32276
639	39503.34434
640	39492.0431
641	39478.73121
642	39464.42664
643	39454.1668
644	39445.69711
645	39419.68044
646	39408.89565
647	39397.68328
648	39384.16983
649	39371.88618
650	39362.77518
651	39349.40096
652	39337.58768
653	39329.02273
654	39320.83441
655	39311.64109
656	39305.28603
657	39293.13522
658	39280.77579
659	39264.12478
660	39251.46334
661	39240.71965
662	39232.63909
663	39221.76628
664	39209.32758
665	39202.10972
666	39192.33401
667	39179.8594
668	39166.9802
669	39153.05139
670	39141.40639
671	39122.2317
672	39109.49975
673	39100.72529
674	39092.16839
675	39078.45742
676	39068.70072
677	39058.86547
678	39047.1558
679	39041.06439
680	39030.09981
681	39017.26506
682	39006.02476
683	38992.77947
684	38985.6952
685	38977.65656
686	38971.11695
687	38956.25584
688	38942.74955
689	38932.23904
690	38923.58016
691	38916.41021
692	38905.89325
693	38893.21328
694	38883.65838
695	38869.66662
696	38862.7591
697	38855.52174
698	38843.72613
699	38827.48545
700	38815.27544
701	38808.04755
702	38799.84813
703	38787.52493
704	38775.93173
705	38763.65996
706	38751.7558
707	38739.75278
708	38731.73663
709	38717.55842
710	38700.72302
711	38691.53995
712	38681.60728
713	38672.1981
714	38659.38047
715	38650.33023
716	38638.65544
717	38621.02027
718	38603.60036
719	38595.875
720	38589.334
721	38578.60215
722	38573.22072
723	38558.26852
724	38548.5518
725	38539.46094
726	38529.87706
727	38517.02177
728	38509.57908
729	38498.47599
730	38485.40262
731	38472.53666
732	38458.04363
733	38444.96904
734	38433.10113
735	38419.41808
736	38413.79942
737	38402.43349
738	38392.56023
739	38375.52244
740	38362.01284
741	38348.98053
742	38338.53357
743	38321.95705
744	38312.51826
745	38302.38902
746	38291.1881
747	38282.55086
748	38273.27931
749	38266.65949
750	38261.78232
751	38252.48377
752	38246.54861
753	38240.05247
754	38237.67518
755	38222.98372
756	38210.22656
757	38202.82612
758	38190.83224
759	38185.95298
760	38176.52687
761	38163.04707
762	38146.05796
763	38135.38997
764	38126.59717
765	38113.63198
766	38103.49009
767	38091.37667
768	38080.37466
769	38063.869
770	38058.70794
771	38043.02127
772	38036.37867
773	38025.51675
774	38015.92335
775	38008.04335
776	37989.10131
777	37980.97188
778	37967.88036
779	37959.23308
780	37947.91659
781	37941.80859
782	37931.92306
783	37924.20338
784	37909.54277
785	37902.66602
786	37889.93235
787	37879.61958
788	37872.12068
789	37861.27541
790	37850.89256
791	37840.62973
792	37827.76365
793	37819.84229
794	37810.23173
795	37805.32824
796	37793.54559
797	37774.86433
798	37761.14717
799	37753.23182
800	37744.38897
801	37729.16654
802	37720.06753
803	37712.01265
804	37699.10491
805	37685.43028
806	37677.43336
807	37669.38295
808	37658.12402
809	37653.54845
810	37645.36193
811	37642.59546
812	37634.53213
813	37627.41711
814	37621.29644
815	37613.72553
816	37608.02037
817	37593.2554
818	37581.65928
819	37574.56515
820	37564.19281
821	37555.6791
822	37547.27766
823	37539.35837
824	37530.34086
825	37518.62864
826	37509.32041
827	37497.30298
828	37490.93591
829	37483.39947
830	37473.08998
831	37459.75554
832	37448.42509
833	37441.41471
834	37433.15597
835	37425.95081
836	37415.15541
837	37407.14024
838	37391.65389
839	37383.14058
840	37375.84767
841	37367.55946
842	37359.61715
843	37347.10559
844	37335.53976
845	37328.95444
846	37319.75552
847	37312.37868
848	37304.40602
849	37295.92013
850	37289.69375
851	37281.17607
852	37270.83921
853	37264.43364
854	37257.13252
855	37244.57867
856	37239.28613
857	37226.20494
858	37215.92204
859	37209.13089
860	37202.47153
861	37191.32712
862	37186.32774
863	37178.11104
864	37167.64154
865	37159.39004
866	37145.6762
867	37134.75425
868	37126.96391
869	37119.09181
870	37109.86162
871	37098.81093
872	37092.04038
873	37083.38278
874	37074.75752
875	37067.39585
876	37056.79186
877	37048.20478
878	37037.0911
879	37023.20034
880	37015.24681
881	37007.09873
882	36998.49751
883	36989.48809
884	36982.40211
885	36973.74854
886	36963.88997
887	36953.52665
888	36941.49766
889	36931.50722
890	36918.90676
891	36908.93696
892	36905.16354
893	36894.36374
894	36888.77991
895	36872.73788
896	36861.33087
897	36852.71871
898	36847.45688
899	36840.89471
900	36831.33917
901	36825.429
902	36812.55052
903	36805.03087
904	36793.99616
905	36783.38482
906	36772.19189
907	36765.45875
908	36753.47084
909	36743.9496
910	36736.82366
911	36729.30833
912	36722.62913
913	36715.11546
914	36708.31733
915	36693.72937
916	36688.73649
917	36682.17193
918	36674.44763
919	36666.56045
920	36657.08282
921	36651.34715
922	36642.4363
923	36636.58309
924	36630.38583
925	36619.13092
926	36612.13579
927	36606.23659
928	36598.05571
929	36593.20567
930	36584.61468
931	36578.20181
932	36569.01356
933	36563.93486
934	36552.86048
935	36546.82594
936	36540.69721
937	36532.20909
938	36521.74913
939	36515.42197
940	36504.00748
941	36497.48896
942	36491.13015
943	36483.80101
944	36479.52013
945	36470.70122
946	36461.58876
947	36456.10528
948	36444.39842
949	36434.8287
950	36428.9538
951	36424.00331
952	36411.96068
953	36406.5237
954	36394.59669
955	36385.60648
956	36373.04036
957	36364.34847
958	36355.13834
959	36344.90337
960	36339.01751
961	36330.95911
962	36326.0545
963	36314.26966
964	36303.70574
965	36292.37607
966	36285.7557
967	36280.87815
968	36275.53189
969	36269.72165
970	36263.3494
971	36260.48371
972	36250.38309
973	36241.7704
974	36231.10933
975	36224.40738
976	36219.87354
977	36207.27855
978	36196.6134
979	36184.82605
980	36178.37469
981	36165.95442
982	36158.85678
983	36150.68131
984	36141.01827
985	36135.06096
986	36123.15889
987	36116.74478
988	36105.63769
989	36098.46501
990	36087.12802
991	36080.23627
992	36070.47969
993	36062.75428
994	36048.8958
995	36039.50629
996	36027.38596
997	36021.15439
998	36015.33312
999	36003.14861
